Squad;Starting eleven;Substituted in;On the bench;Suspended;Injured;Giocatore;Player_id
18;11;3;4;0;20;Zinho Vanheusden;13747
21;5;10;6;0;9;Yayah Kallon;99999999
38;37;0;1;0;0;Salvatore Sirigu;99999999
30;21;6;3;0;6;Mattia Destro;7277
2;0;1;1;0;0;Andrea Favilli;99999999
16;13;1;2;0;20;Nikola Maksimovic;8076
2;0;1;1;0;16;Francesco Cassata;99999999
25;16;5;4;1;12;Nicol  Rovella;24518
24;13;4;7;0;13;Mattia Bani;11598
14;6;6;2;0;1;Albert Gudmundsson;99999999
10;0;4;6;0;13;Aleksander Buksa;99999999
18;14;2;2;0;1;Silvan Hefti;9843
1;0;0;1;0;10;Lennart Czyborra;99999999
12;4;3;5;0;0;Flavio Bianchi;99999999
17;9;8;0;0;0;Kelvin Yeboah;99999999
18;11;3;4;0;4;Davide Biraschi;11655
10;6;3;1;0;27;Mohamed Fares;99999999
26;24;1;1;2;10;Stefano Sturaro;10006
35;1;0;34;0;0;Adrian Semper;99999999
17;4;10;3;1;6;Nikola Kalinic;99999999
36;29;5;2;2;0;Federico Ceccherini;3335
25;17;5;3;1;12;Miguel Veloso;7578
18;0;0;18;0;5;Kevin R egg;99999999
34;5;19;10;1;2;Daniel Bessa;99999999
35;32;2;1;0;3;Darko Lazovi;2361
14;3;1;10;0;6;Diego Coppola;99999999
12;0;2;10;0;3;Mateusz Praszelik;99999999
1;0;0;1;0;0;Mattia Florio;99999999
2;0;0;2;0;0;Kaur Kivila;99999999
30;27;2;1;0;8;Antonin Barak;11338
17;13;4;0;0;19;Pawel Dawidowicz;8542
37;32;4;1;1;0;Giovanni Simeone;11289
3;0;0;3;0;0;David Flakus Bosilj;99999999
16;0;0;16;0;0;Mattia Chiesa;99999999
36;34;0;2;0;2;Lorenzo Montip;99999999
34;6;18;10;0;4;Bosko Sutalo;16623
34;11;17;6;0;4;Kevin Lasagna;5838
12;0;2;10;0;26;Gianluca Frabotta;99999999
38;26;12;0;0;0;Adrien Tam ze;11508
2;0;0;2;0;0;Mattia Turra;99999999
32;30;2;0;2;4;Davide Faraoni;6767
1;0;1;0;0;0;Samuel Di Carmine;99999999
31;23;8;0;1;6;Mattia Zaccagni;19698
29;7;11;11;5;4;Martin Hongla;99999999
15;0;2;13;0;4;Mert Cetin;99999999
1;0;0;1;0;0;Giacomo Toniolo;99999999
31;1;11;19;0;6;Matteo Cancellieri;99999999
36;30;6;0;1;1;Nicol  Casale;27654
4;0;0;4;0;0;Christian Pierobon;99999999
34;8;10;16;1;3;Giangiacomo Magnani;99999999
31;1;0;30;0;7;Alessandro Berardi;99999999
32;29;1;2;1;4;Koray G nter;14152
32;30;2;0;2;4;Ivan Ili;12355
15;0;0;15;0;2;Antonino Ragusa;99999999
6;0;0;6;0;0;Elia Boseggia;99999999
3;0;1;2;0;0;Filippo Terracciano;99999999
35;33;2;0;0;1;Gianluca Caprari;3889
23;3;0;20;0;14;Ivor Pandur;99999999
12;1;4;7;0;3;Panagiotis Retsos;99999999
35;8;16;11;0;3;Fabio Depaoli;99999999
38;9;11;18;0;0;Danilo D Ambrosio;2286
26;12;14;0;0;11;Joaqu n Correa;5096
23;1;11;11;0;15;Felipe Caicedo;99999999
4;0;1;3;0;9;Mattia Zanotti;99999999
38;37;0;1;0;0;Samir Handanovic;99999999
37;32;4;1;0;1;Andrea Pinamonti;14183
29;11;9;9;0;8;Stefano Sensi;11271
38;27;9;2;0;0;Edin Dzeko;2938
17;5;8;4;0;21;Robin Gosens;99999999
2;0;0;2;0;0;Fabio Cortinovis;99999999
5;0;0;5;0;0;Franco Carboni;99999999
35;35;0;0;1;2;Marcelo Brozovic;6707
35;6;12;17;0;3;Roberto Gagliardini;99999999
2;0;0;2;0;0;Dennis Curatolo;99999999
30;2;26;2;0;7;Arturo Vidal;99999999
38;13;19;6;0;0;Federico Dimarco;19036
13;0;4;9;0;1;Mart n Satriano;99999999
32;28;2;2;0;6;Stefan de Vrij;9972
34;18;7;9;0;4;Matteo Darmian;7229
1;0;0;1;0;0;Cesare Casadei;99999999
37;36;0;1;1;0;Nicol  Barella;8042
33;7;20;6;0;4;Alexis S nchez;99999999
38;21;12;5;0;0;Denzel Dumfries;12685
38;1;0;37;0;0;Ionut Radu;99999999
37;35;0;2;0;1;Ivan Perisic;4545
36;28;7;1;1;1;Lautaro Mart nez;12643
1;0;0;1;0;0;Lucien Agoum;99999999
38;35;0;3;0;0;Milan Skriniar;7638
